vOTU,Virulent,Temperate,provirus,completeness,checkv_quality,lifestyle,lifestyle_prediction_method
080613_5_ph_rerun_k141_1062103,0.8118782016546146,0.1881217983453865,No,5.12,Low-quality,lytic,checkv & bacphlip
080613_5_ph_rerun_k141_1062485,0.8225797543273679,0.1774202456726331,No,NA,Not-determined,lytic,checkv & bacphlip
080613_5_ph_rerun_k141_1063085,0.8118782016546146,0.1881217983453865,No,12,Low-quality,lytic,checkv & bacphlip
080613_5_ph_rerun_k141_1063411,0,1,No,7.46,Low-quality,lysogenic,bacphlip
080613_5_ph_rerun_k141_106466,0.8800312501502798,0.11996874984972046,No,4.68,Low-quality,lytic,checkv & bacphlip
080613_5_ph_rerun_k141_1065432,0.932544052863436,0.06745594713656389,No,6.47,Low-quality,lytic,checkv & bacphlip
080613_5_ph_rerun_k141_1069626,0.8118782016546146,0.1881217983453865,No,NA,Not-determined,lytic,checkv & bacphlip
080613_5_ph_rerun_k141_1070655,0.8950440528634361,0.10495594713656389,No,6.92,Low-quality,lytic,checkv & bacphlip
080613_5_ph_rerun_k141_1073100,0.8118782016546146,0.1881217983453865,No,NA,Not-determined,lytic,checkv & bacphlip
080613_5_ph_rerun_k141_1074769,0.8118782016546146,0.1881217983453865,No,7.49,Low-quality,lytic,checkv & bacphlip
080613_5_ph_rerun_k141_1075523,0.8118782016546146,0.1881217983453865,No,8.33,Low-quality,lytic,checkv & bacphlip
080613_5_ph_rerun_k141_1078874,0.9401982378854626,0.05980176211453745,No,4.45,Low-quality,lytic,checkv & bacphlip
080613_5_ph_rerun_k141_1080757,0.8118782016546146,0.1881217983453865,No,NA,Not-determined,lytic,checkv & bacphlip
080613_5_ph_rerun_k141_1081540,0.8363170653598774,0.16368293464012354,No,2.01,Low-quality,lytic,checkv & bacphlip
080613_5_ph_rerun_k141_108180,0.8845603315797836,0.11543966842021684,No,NA,Not-determined,lytic,checkv & bacphlip
080613_5_ph_rerun_k141_1085763,0.8118782016546146,0.1881217983453865,No,8.58,Low-quality,lytic,checkv & bacphlip
080613_5_ph_rerun_k141_1087274,0.8118782016546146,0.1881217983453865,No,6.04,Low-quality,lytic,checkv & bacphlip
080613_5_ph_rerun_k141_1088791,0.9737035884897509,0.026296411510249213,No,3.2,Low-quality,lytic,checkv & bacphlip
080613_5_ph_rerun_k141_1094039,0.7306451015031156,0.2693548984968848,No,4.15,Low-quality,unclear,Not-determined
080613_5_ph_rerun_k141_1098105,0.9107929515418502,0.08920704845814986,No,4.65,Low-quality,lytic,checkv & bacphlip
080613_5_ph_rerun_k141_1099781,0.9404185022026432,0.05958149779735683,No,7.91,Low-quality,lytic,checkv & bacphlip
080613_5_ph_rerun_k141_1101641,0.931779094256249,0.06822090574375078,No,8.02,Low-quality,lytic,checkv & bacphlip
080613_5_ph_rerun_k141_1102712,0.8118782016546146,0.1881217983453865,No,1.96,Low-quality,lytic,checkv & bacphlip
080613_5_ph_rerun_k141_1105923,0.9617103416003744,0.03828965839962564,No,3.63,Low-quality,lytic,checkv & bacphlip
080613_5_ph_rerun_k141_1109736,0.8118782016546146,0.1881217983453865,No,8.75,Low-quality,lytic,checkv & bacphlip
080613_5_ph_rerun_k141_1109751,0.9671223880208597,0.03287761197914031,No,NA,Not-determined,lytic,checkv & bacphlip
080613_5_ph_rerun_k141_1111813,0.9032488986784142,0.09675110132158597,No,NA,Not-determined,lytic,checkv & bacphlip
080613_5_ph_rerun_k141_1111853,0.9404185022026432,0.05958149779735683,No,7.09,Low-quality,lytic,checkv & bacphlip
080613_5_ph_rerun_k141_1114955,0,1,No,6.66,Low-quality,lysogenic,bacphlip
080613_5_ph_rerun_k141_1116934,0.8118782016546146,0.1881217983453865,No,1.18,Low-quality,lytic,checkv & bacphlip
080613_5_ph_rerun_k141_1118667,0.8759425644513588,0.12405743554864146,No,5.18,Low-quality,lytic,checkv & bacphlip
080613_5_ph_rerun_k141_1120827,0.9053964757709249,0.09460352422907495,No,31.91,Low-quality,lytic,checkv & bacphlip
080613_5_ph_rerun_k141_1121625,0.7125,0.2875,No,6.57,Low-quality,unclear,Not-determined
080613_5_ph_rerun_k141_1122992,0.8118782016546146,0.1881217983453865,No,NA,Not-determined,lytic,checkv & bacphlip
080613_5_ph_rerun_k141_112334,0.9602261948935176,0.03977380510648237,No,8.25,Low-quality,lytic,checkv & bacphlip
080613_5_ph_rerun_k141_1124225,0.9428964757709251,0.0571035242290749,No,1.96,Low-quality,lytic,checkv & bacphlip
080613_5_ph_rerun_k141_1126944,0.7752202643171807,0.2247797356828194,No,51.79,Medium-quality,lytic,checkv & bacphlip
080613_5_ph_rerun_k141_1127695,0.8118782016546146,0.1881217983453865,No,3.72,Low-quality,lytic,checkv & bacphlip
080613_5_ph_rerun_k141_1127809,0.997522026431718,0.0024779735682819385,No,4.36,Low-quality,lytic,checkv & bacphlip
080613_5_ph_rerun_k141_1130033,0.9439463376164017,0.05605366238359798,No,6.69,Low-quality,lytic,checkv & bacphlip
080613_5_ph_rerun_k141_1130132,0.8482622124791203,0.15173778752088038,No,3.76,Low-quality,lytic,checkv & bacphlip
080613_5_ph_rerun_k141_1131865,0.8263964143164042,0.17360358568359646,No,5.62,Low-quality,lytic,checkv & bacphlip
080613_5_ph_rerun_k141_1132705,0.9400881057268723,0.059911894273127764,No,NA,Not-determined,lytic,checkv & bacphlip
080613_5_ph_rerun_k141_1132965,0.9240226064037669,0.07597739359623315,No,6.38,Low-quality,lytic,checkv & bacphlip
080613_5_ph_rerun_k141_1137463,0.8118782016546146,0.1881217983453865,No,NA,Not-determined,lytic,checkv & bacphlip
080613_5_ph_rerun_k141_1139558,0.9734687829708818,0.02653121702911796,No,3.18,Low-quality,lytic,checkv & bacphlip
080613_5_ph_rerun_k141_114109,0.95,0.05,No,4.54,Low-quality,lytic,checkv & bacphlip
080613_5_ph_rerun_k141_1141227,0.8118782016546146,0.1881217983453865,No,5.98,Low-quality,lytic,checkv & bacphlip
080613_5_ph_rerun_k141_1143857,0.8396897343386005,0.1603102656614003,No,4.35,Low-quality,lytic,checkv & bacphlip
080613_5_ph_rerun_k141_1144174,0.9471098348301243,0.052890165169875436,No,1.81,Low-quality,lytic,checkv & bacphlip
080613_5_ph_rerun_k141_1145533,0,1,No,5.65,Low-quality,lysogenic,bacphlip
080613_5_ph_rerun_k141_1145990,0.8118782016546146,0.1881217983453865,No,2.42,Low-quality,lytic,checkv & bacphlip
080613_5_ph_rerun_k141_1147747,0.8338669542239673,0.16613304577603344,No,7.25,Low-quality,lytic,checkv & bacphlip
080613_5_ph_rerun_k141_1153199,0.9677863436123347,0.0322136563876652,No,NA,Not-determined,lytic,checkv & bacphlip
080613_5_ph_rerun_k141_1154229,0.8336311192572265,0.16636888074277426,No,2.12,Low-quality,lytic,checkv & bacphlip
080613_5_ph_rerun_k141_1157920,0.85,0.15,No,7.36,Low-quality,lytic,checkv & bacphlip
080613_5_ph_rerun_k141_1160241,0.825,0.175,No,6.02,Low-quality,lytic,checkv & bacphlip
080613_5_ph_rerun_k141_1164764,0.8118782016546146,0.1881217983453865,No,8.68,Low-quality,lytic,checkv & bacphlip
080613_5_ph_rerun_k141_1165476,0.8118782016546146,0.1881217983453865,No,NA,Not-determined,lytic,checkv & bacphlip
080613_5_ph_rerun_k141_116828,0.9177863436123348,0.08221365638766522,No,5.75,Low-quality,lytic,checkv & bacphlip
080613_5_ph_rerun_k141_1169517,0.8118782016546146,0.1881217983453865,No,7,Low-quality,lytic,checkv & bacphlip
080613_5_ph_rerun_k141_1172491,0.6602422907488987,0.33975770925110127,No,12.88,Low-quality,unclear,Not-determined
080613_5_ph_rerun_k141_1173267,0.9107929515418502,0.08920704845814986,No,NA,Not-determined,lytic,checkv & bacphlip
080613_5_ph_rerun_k141_1173422,0.8250137958310801,0.17498620416892058,No,9.71,Low-quality,lytic,checkv & bacphlip
080613_5_ph_rerun_k141_1174420,0.997522026431718,0.0024779735682819385,No,6.22,Low-quality,lytic,checkv & bacphlip
080613_5_ph_rerun_k141_1176304,0.8118782016546146,0.1881217983453865,No,NA,Not-determined,lytic,checkv & bacphlip
080613_5_ph_rerun_k141_1176834,0.8118782016546146,0.1881217983453865,No,1.34,Low-quality,lytic,checkv & bacphlip
080613_5_ph_rerun_k141_1177796,0.9680886646826714,0.031911335317328655,No,5.92,Low-quality,lytic,checkv & bacphlip
080613_5_ph_rerun_k141_1179801,0.9125,0.0875,No,11.86,Low-quality,lytic,checkv & bacphlip
080613_5_ph_rerun_k141_1182148,0.8930115606272911,0.10698843937270872,No,9.65,Low-quality,lytic,checkv & bacphlip
080613_5_ph_rerun_k141_1183373|provirus_26178_44236,0.9577643171806166,0.042235682819383266,No,21.08,Low-quality,lytic,checkv & bacphlip
080613_5_ph_rerun_k141_118374|provirus_20701_37819,0.8752202643171806,0.12477973568281939,No,40.43,Low-quality,lytic,checkv & bacphlip
080613_5_ph_rerun_k141_1183769,0.8118782016546146,0.1881217983453865,No,4.83,Low-quality,lytic,checkv & bacphlip
080613_5_ph_rerun_k141_1185012,0.95,0.05,No,21.9,Low-quality,lytic,checkv & bacphlip
080613_5_ph_rerun_k141_1186029,0.9675660792951541,0.03243392070484581,No,NA,Not-determined,lytic,checkv & bacphlip
080613_5_ph_rerun_k141_1187666,0.15,0.85,No,NA,Not-determined,lysogenic,bacphlip
080613_5_ph_rerun_k141_1187778,0,1,No,11.9,Low-quality,lysogenic,bacphlip
080613_5_ph_rerun_k141_1191105,0.8118782016546146,0.1881217983453865,No,9.41,Low-quality,lytic,checkv & bacphlip
080613_5_ph_rerun_k141_1192283,0.724694777917064,0.2753052220829365,No,7.39,Low-quality,unclear,Not-determined
080613_5_ph_rerun_k141_1193757,0.8824518066180694,0.11754819338193054,No,NA,Not-determined,lytic,checkv & bacphlip
080613_5_ph_rerun_k141_1194264|provirus_2_9651,0.724694777917064,0.2753052220829365,No,25.33,Low-quality,unclear,Not-determined
080613_5_ph_rerun_k141_1196502,0.8118782016546146,0.1881217983453865,No,6.36,Low-quality,lytic,checkv & bacphlip
080613_5_ph_rerun_k141_1197017,0.8848696795023974,0.11513032049760293,No,1.44,Low-quality,lytic,checkv & bacphlip
080613_5_ph_rerun_k141_1197689,0.8460791743553189,0.15392082564468182,No,2.56,Low-quality,lytic,checkv & bacphlip
080613_5_ph_rerun_k141_12004,0,1,No,6.16,Low-quality,lysogenic,bacphlip
080613_5_ph_rerun_k141_1202231,0.8118782016546146,0.1881217983453865,No,7.31,Low-quality,lytic,checkv & bacphlip
080613_5_ph_rerun_k141_1202886,0.8287014312450708,0.17129856875493005,No,7.85,Low-quality,lytic,checkv & bacphlip
080613_5_ph_rerun_k141_1204936,0.87165057290627,0.12834942709373023,No,6.11,Low-quality,lytic,checkv & bacphlip
080613_5_ph_rerun_k141_120540,0,1,No,9.64,Low-quality,lysogenic,bacphlip
080613_5_ph_rerun_k141_1209281,0.8143561752228965,0.18564382477710456,No,3.5,Low-quality,lytic,checkv & bacphlip
080613_5_ph_rerun_k141_1211812,0.7180313077219547,0.2819686922780455,No,9.34,Low-quality,unclear,Not-determined
080613_5_ph_rerun_k141_1211985,0.8991753551694796,0.10082464483052038,No,4.59,Low-quality,lytic,checkv & bacphlip
080613_5_ph_rerun_k141_1212422,0.9476321585903082,0.052367841409691626,Yes,1.01,Low-quality,lysogenic,checkv
080613_5_ph_rerun_k141_121774,0.8118782016546146,0.1881217983453865,No,NA,Not-determined,lytic,checkv & bacphlip
080613_5_ph_rerun_k141_1220453,0.9977933468119907,0.0022066531880091693,No,7.08,Low-quality,lytic,checkv & bacphlip
080613_5_ph_rerun_k141_1221025|provirus_3_4320,0.8118782016546146,0.1881217983453865,No,11.06,Low-quality,lytic,checkv & bacphlip
080613_5_ph_rerun_k141_1224410,0.8118782016546146,0.1881217983453865,No,20.49,Low-quality,lytic,checkv & bacphlip
080613_5_ph_rerun_k141_1236357,0.9752202643171806,0.024779735682819385,No,5.41,Low-quality,lytic,checkv & bacphlip
080613_5_ph_rerun_k141_1242017,1,0,No,2.56,Low-quality,lytic,checkv & bacphlip
080613_5_ph_rerun_k141_124216,0.9230726872246695,0.07692731277533046,No,5.24,Low-quality,lytic,checkv & bacphlip
080613_5_ph_rerun_k141_1243400,0.8118782016546146,0.1881217983453865,No,NA,Not-determined,lytic,checkv & bacphlip
080613_5_ph_rerun_k141_1243891,0.8118782016546146,0.1881217983453865,No,NA,Not-determined,lytic,checkv & bacphlip
080613_5_ph_rerun_k141_124472,0.8118782016546146,0.1881217983453865,No,NA,Not-determined,lytic,checkv & bacphlip
080613_5_ph_rerun_k141_1244881,0.025,0.975,Yes,19.62,Low-quality,lysogenic,checkv & bacphlip
080613_5_ph_rerun_k141_1249897,0.8806952057417549,0.11930479425824539,No,NA,Not-determined,lytic,checkv & bacphlip
080613_5_ph_rerun_k141_1251936,0.8550238645244239,0.14497613547557656,No,5.11,Low-quality,lytic,checkv & bacphlip
080613_5_ph_rerun_k141_125359,0.8118782016546146,0.1881217983453865,No,9.2,Low-quality,lytic,checkv & bacphlip
080613_5_ph_rerun_k141_1254923,0.9944902294305512,0.0055097705694486816,No,2.7,Low-quality,lytic,checkv & bacphlip
080613_5_ph_rerun_k141_1257883,0.8338669542239673,0.16613304577603344,Yes,4.95,Low-quality,lysogenic,checkv
080613_5_ph_rerun_k141_1258537,0.8118782016546146,0.1881217983453865,No,NA,Not-determined,lytic,checkv & bacphlip
080613_5_ph_rerun_k141_1260847,0.997522026431718,0.0024779735682819385,No,6.32,Low-quality,lytic,checkv & bacphlip
080613_5_ph_rerun_k141_1262356,0.8118782016546146,0.1881217983453865,No,5.91,Low-quality,lytic,checkv & bacphlip
080613_5_ph_rerun_k141_1262658,0.8800312501502798,0.11996874984972046,No,2.97,Low-quality,lytic,checkv & bacphlip
080613_5_ph_rerun_k141_1263953,0.934641658621086,0.06535834137891403,No,3.31,Low-quality,lytic,checkv & bacphlip
080613_5_ph_rerun_k141_1267703,0.0625,0.9375,No,3.5,Low-quality,lysogenic,bacphlip
080613_5_ph_rerun_k141_1272401,0.8691268200909323,0.130873179909068,No,5.75,Low-quality,lytic,checkv & bacphlip
080613_5_ph_rerun_k141_1274695,0.8118782016546146,0.1881217983453865,No,5.22,Low-quality,lytic,checkv & bacphlip
080613_5_ph_rerun_k141_1281393,0.9159736410929751,0.08402635890702506,No,3.37,Low-quality,lytic,checkv & bacphlip
080613_5_ph_rerun_k141_1282009,0.8118782016546146,0.1881217983453865,No,3.79,Low-quality,lytic,checkv & bacphlip
080613_5_ph_rerun_k141_128280|provirus_2_32383,0.8875,0.1125,No,80.39,Medium-quality,lytic,checkv & bacphlip
080613_5_ph_rerun_k141_1283225,0.972522026431718,0.027477973568281938,No,2.3,Low-quality,lytic,checkv & bacphlip
080613_5_ph_rerun_k141_1283552,0.8118782016546146,0.1881217983453865,No,2.52,Low-quality,lytic,checkv & bacphlip
080613_5_ph_rerun_k141_1285182,0.8118782016546146,0.1881217983453865,No,2.34,Low-quality,lytic,checkv & bacphlip
080613_5_ph_rerun_k141_1289385,0.9125,0.0875,No,11.86,Low-quality,lytic,checkv & bacphlip
080613_5_ph_rerun_k141_1289825,0.793594045211205,0.20640595478879584,No,6.86,Low-quality,lytic,checkv & bacphlip
080613_5_ph_rerun_k141_1293271,0.8476738168537604,0.1523261831462402,No,NA,Not-determined,lytic,checkv & bacphlip
080613_5_ph_rerun_k141_1293291|provirus_53384_80661,0.7,0.3,No,37.88,Low-quality,unclear,Not-determined
080613_5_ph_rerun_k141_1294174,1,0,No,7.72,Low-quality,lytic,checkv & bacphlip
080613_5_ph_rerun_k141_1297831,0.8118782016546146,0.1881217983453865,No,13.09,Low-quality,lytic,checkv & bacphlip
080613_5_ph_rerun_k141_129786,0.9404185022026432,0.05958149779735683,No,8.96,Low-quality,lytic,checkv & bacphlip
080613_5_ph_rerun_k141_1299404,1,0,No,6.17,Low-quality,lytic,checkv & bacphlip
080613_5_ph_rerun_k141_1299681,0.8363170653598774,0.16368293464012354,No,5.89,Low-quality,lytic,checkv & bacphlip
080613_5_ph_rerun_k141_1302199,0.947852422907489,0.05214757709251101,No,NA,Not-determined,lytic,checkv & bacphlip
080613_5_ph_rerun_k141_1304292,0.13502202643171807,0.864977973568282,No,36.25,Low-quality,lysogenic,bacphlip
080613_5_ph_rerun_k141_1311079,0.9602422907488986,0.03975770925110132,No,3.32,Low-quality,lytic,checkv & bacphlip
080613_5_ph_rerun_k141_131124,0.7822100652881586,0.21778993471184166,No,5,Low-quality,lytic,checkv & bacphlip
080613_5_ph_rerun_k141_1311287,0.9320112779837082,0.06798872201629169,No,10.17,Low-quality,lytic,checkv & bacphlip
080613_5_ph_rerun_k141_1318609,0.8118782016546146,0.1881217983453865,No,4.59,Low-quality,lytic,checkv & bacphlip
080613_5_ph_rerun_k141_1322667,0.8118782016546146,0.1881217983453865,No,2.13,Low-quality,lytic,checkv & bacphlip
080613_5_ph_rerun_k141_1322724,0,1,No,4,Low-quality,lysogenic,bacphlip
080613_5_ph_rerun_k141_1324,0.8118782016546146,0.1881217983453865,No,9.19,Low-quality,lytic,checkv & bacphlip
080613_5_ph_rerun_k141_1326272,0.7550660792951542,0.24493392070484585,No,76.87,Medium-quality,lytic,checkv & bacphlip
080613_5_ph_rerun_k141_1326585,0.9625,0.0375,No,13.19,Low-quality,lytic,checkv & bacphlip
080613_5_ph_rerun_k141_1326858,0.9972986238568456,0.002701376143154288,No,1.14,Low-quality,lytic,checkv & bacphlip
080613_5_ph_rerun_k141_1327094,0.9869613187571019,0.013038681242898212,No,8.26,Low-quality,lytic,checkv & bacphlip
080613_5_ph_rerun_k141_13274|provirus_224810_274866,0,1,No,87.47,Medium-quality,lysogenic,bacphlip
080613_5_ph_rerun_k141_1328215,0.8118782016546146,0.1881217983453865,No,NA,Not-determined,lytic,checkv & bacphlip
080613_5_ph_rerun_k141_1330832,0.8849871972868438,0.11501280271315657,No,6.59,Low-quality,lytic,checkv & bacphlip
080613_5_ph_rerun_k141_1331230,0.8118782016546146,0.1881217983453865,No,7.76,Low-quality,lytic,checkv & bacphlip
080613_5_ph_rerun_k141_1332665,0.9697695942254715,0.03023040577452838,No,10.76,Low-quality,lytic,checkv & bacphlip
080613_5_ph_rerun_k141_1334739,0.8118782016546146,0.1881217983453865,No,10.56,Low-quality,lytic,checkv & bacphlip
080613_5_ph_rerun_k141_1336428,0.9523136470889078,0.04768635291109226,No,NA,Not-determined,lytic,checkv & bacphlip
080613_5_ph_rerun_k141_1337922,0.8118782016546146,0.1881217983453865,No,3.82,Low-quality,lytic,checkv & bacphlip
080613_5_ph_rerun_k141_133983,0.9577643171806166,0.04223568281938326,No,NA,Not-determined,lytic,checkv & bacphlip
080613_5_ph_rerun_k141_1340434,0.7869672251202724,0.21303277487972777,No,100,Complete,lytic,checkv & bacphlip
080613_5_ph_rerun_k141_1342590,0.8118782016546146,0.1881217983453865,No,2.82,Low-quality,lytic,checkv & bacphlip
080613_5_ph_rerun_k141_1344599,0.931779094256249,0.06822090574375078,No,5.74,Low-quality,lytic,checkv & bacphlip
080613_5_ph_rerun_k141_1345530,0.988037727577504,0.01196227242249624,No,NA,Not-determined,lytic,checkv & bacphlip
080613_5_ph_rerun_k141_1345587,0.8118782016546146,0.1881217983453865,No,NA,Not-determined,lytic,checkv & bacphlip
080613_5_ph_rerun_k141_1348395,0.9980446118192352,0.0019553881807647744,No,7.7,Low-quality,lytic,checkv & bacphlip
080613_5_ph_rerun_k141_1350057,0.9627202643171806,0.03727973568281938,No,5.71,Low-quality,lytic,checkv & bacphlip
080613_5_ph_rerun_k141_135194,0.997522026431718,0.0024779735682819385,Yes,1.48,Low-quality,lysogenic,checkv
080613_5_ph_rerun_k141_1353731,0.8550238645244239,0.14497613547557656,No,NA,Not-determined,lytic,checkv & bacphlip
080613_5_ph_rerun_k141_1354425,0.15,0.85,No,NA,Not-determined,lysogenic,bacphlip
080613_5_ph_rerun_k141_1354556,0.9900568676815045,0.009943132318495394,No,3.04,Low-quality,lytic,checkv & bacphlip
080613_5_ph_rerun_k141_1356199,0.8338669542239673,0.16613304577603344,No,NA,Not-determined,lytic,checkv & bacphlip
080613_5_ph_rerun_k141_1357366,0.8118782016546146,0.1881217983453865,No,3.25,Low-quality,lytic,checkv & bacphlip
080613_5_ph_rerun_k141_1357485,0.5375,0.4625,No,8.33,Low-quality,unclear,Not-determined
080613_5_ph_rerun_k141_1357686,0.97209347734741,0.02790652265258984,No,4.29,Low-quality,lytic,checkv & bacphlip
080613_5_ph_rerun_k141_1357701,0.9301445449488034,0.0698554550511968,No,8.57,Low-quality,lytic,checkv & bacphlip
080613_5_ph_rerun_k141_1359429,0.7075440528634361,0.29245594713656387,No,100,Complete,lytic,checkv & bacphlip
080613_5_ph_rerun_k141_135978,0.8118782016546146,0.1881217983453865,No,3.4,Low-quality,lytic,checkv & bacphlip
080613_5_ph_rerun_k141_1361064,0.075,0.925,No,NA,Not-determined,lysogenic,bacphlip
080613_5_ph_rerun_k141_1363629,0.9394451986885543,0.060554801311445874,No,NA,Not-determined,lytic,checkv & bacphlip
080613_5_ph_rerun_k141_1364230,0.8025881057268723,0.19741189427312775,No,4.63,Low-quality,lytic,checkv & bacphlip
080613_5_ph_rerun_k141_1365263,0.8800312501502798,0.11996874984972046,No,NA,Not-determined,lytic,checkv & bacphlip
080613_5_ph_rerun_k141_1366823,0.8118782016546146,0.1881217983453865,No,NA,Not-determined,lytic,checkv & bacphlip
080613_5_ph_rerun_k141_1374533,0.15,0.85,Yes,7.96,Low-quality,lysogenic,checkv & bacphlip
080613_5_ph_rerun_k141_1375529,0.8118782016546146,0.1881217983453865,No,5.85,Low-quality,lytic,checkv & bacphlip
080613_5_ph_rerun_k141_1381531,0.8118782016546146,0.1881217983453865,No,1.88,Low-quality,lytic,checkv & bacphlip
080613_5_ph_rerun_k141_1381533,0.8118782016546146,0.1881217983453865,No,5.85,Low-quality,lytic,checkv & bacphlip
080613_5_ph_rerun_k141_1382390,0.826223457676789,0.173776542323212,No,NA,Not-determined,lytic,checkv & bacphlip
080613_5_ph_rerun_k141_1383220,0.8800312501502798,0.11996874984972046,No,9.56,Low-quality,lytic,checkv & bacphlip
080613_5_ph_rerun_k141_1386426,0.997522026431718,0.0024779735682819385,No,NA,Not-determined,lytic,checkv & bacphlip
080613_5_ph_rerun_k141_1387476,0.8800312501502798,0.11996874984972046,No,NA,Not-determined,lytic,checkv & bacphlip
080613_5_ph_rerun_k141_1389804,0.8152193465783952,0.18478065342160582,No,NA,Not-determined,lytic,checkv & bacphlip
080613_5_ph_rerun_k141_1395212,0.8341799637691517,0.165820036230849,No,4.29,Low-quality,lytic,checkv & bacphlip
080613_5_ph_rerun_k141_1397528,0.8118782016546146,0.1881217983453865,No,NA,Not-determined,lytic,checkv & bacphlip
080613_5_ph_rerun_k141_1399476,0.8118782016546146,0.1881217983453865,No,4.2,Low-quality,lytic,checkv & bacphlip
080613_5_ph_rerun_k141_1400497,0.8168341487911783,0.18316585120882262,No,5.86,Low-quality,lytic,checkv & bacphlip
080613_5_ph_rerun_k141_1400562,0.8118782016546146,0.1881217983453865,No,NA,Not-determined,lytic,checkv & bacphlip
080613_5_ph_rerun_k141_1401122,0.8234150876327359,0.17658491236726478,No,5.33,Low-quality,lytic,checkv & bacphlip
080613_5_ph_rerun_k141_1401281,0.9676762114537443,0.032323788546255505,No,3.91,Low-quality,lytic,checkv & bacphlip
080613_5_ph_rerun_k141_1402146,0.8118782016546146,0.1881217983453865,No,NA,Not-determined,lytic,checkv & bacphlip
080613_5_ph_rerun_k141_1402162,0.9,0.1,No,9.31,Low-quality,lytic,checkv & bacphlip
080613_5_ph_rerun_k141_1402779,0.9875,0.0125,No,5.96,Low-quality,lytic,checkv & bacphlip
080613_5_ph_rerun_k141_1404628,0.8118782016546146,0.1881217983453865,No,NA,Not-determined,lytic,checkv & bacphlip
080613_5_ph_rerun_k141_1405240,0.8118782016546146,0.1881217983453865,No,5.94,Low-quality,lytic,checkv & bacphlip
