contig_id	contig_length	provirus	proviral_length	gene_count	viral_genes	host_genes	checkv_quality	miuvig_quality	completeness	completeness_method	contamination	kmer_freq	warnings
080613_5_ph_rerun_k141_1750128	3735	No	NA	8	7	0	Low-quality	Genome-fragment	8.69	AAI-based (medium-confidence)	0.0	1.0	
cn_080613_5_ph_rerun_000000000109	5163	No	NA	10	1	0	Low-quality	Genome-fragment	8.65	HMM-based (lower-bound)	0.0	1.0	
080613_5_ph_rerun_k141_700884	19525	Yes	9431	23	2	5	Low-quality	Genome-fragment	7.97	HMM-based (lower-bound)	51.7	1.0	low-confidence Provirus
080613_5_ph_rerun_k141_1400497	2859	No	NA	6	2	0	Low-quality	Genome-fragment	5.86	AAI-based (high-confidence)	0.0	1.0	
080613_5_ph_rerun_k141_1400562	2723	No	NA	2	0	0	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
080613_5_ph_rerun_k141_817272	2588	No	NA	4	0	0	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
080613_5_ph_rerun_k141_352084	4580	No	NA	6	4	0	Low-quality	Genome-fragment	10.7	AAI-based (medium-confidence)	0.0	1.0	
cn_080613_5_ph_rerun_000000000355	42215	No	NA	40	11	2	Low-quality	Genome-fragment	39.69	HMM-based (lower-bound)	0.0	1.0	
080613_5_ph_rerun_k141_585054	2712	No	NA	4	0	2	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
080613_5_ph_rerun_k141_1517376	4774	No	NA	3	0	2	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
cn_080613_5_ph_rerun_000000000611	16166	No	NA	31	0	0	Low-quality	Genome-fragment	20.38	AAI-based (medium-confidence)	0.0	1.0	no viral genes detected
080613_5_ph_rerun_k141_1634036	3187	No	NA	13	1	0	Low-quality	Genome-fragment	4.85	HMM-based (lower-bound)	0.0	1.0	
080613_5_ph_rerun_k141_1401122	3743	No	NA	5	1	0	Low-quality	Genome-fragment	5.33	HMM-based (lower-bound)	0.0	1.0	
080613_5_ph_rerun_k141_1401281	2711	No	NA	3	2	0	Low-quality	Genome-fragment	3.91	HMM-based (lower-bound)	0.0	1.0	
080613_5_ph_rerun_k141_817925	6556	No	NA	17	1	0	Low-quality	Genome-fragment	4.06	HMM-based (lower-bound)	0.0	1.0	
cn_080613_5_ph_rerun_000000000598	25689	No	NA	33	13	1	Medium-quality	Genome-fragment	59.97	AAI-based (medium-confidence)	0.0	1.0	
080613_5_ph_rerun_k141_1751446	2655	No	NA	2	0	0	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
cn_080613_5_ph_rerun_000000000060	8659	No	NA	13	11	0	Low-quality	Genome-fragment	20.92	AAI-based (medium-confidence)	0.0	1.0	
cn_080613_5_ph_rerun_000000000286	14541	No	NA	29	29	0	Low-quality	Genome-fragment	22.01	AAI-based (high-confidence)	0.0	1.0	
080613_5_ph_rerun_k141_1751820	3268	No	NA	3	3	0	Low-quality	Genome-fragment	6.69	AAI-based (medium-confidence)	0.0	1.0	
080613_5_ph_rerun_k141_1751880	2610	No	NA	3	3	0	Low-quality	Genome-fragment	4.18	HMM-based (lower-bound)	0.0	1.0	
080613_5_ph_rerun_k141_935811	3002	No	NA	6	4	0	Low-quality	Genome-fragment	5.36	HMM-based (lower-bound)	0.0	1.0	
raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_17_k141_468877	9615	No	NA	25	0	0	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
080613_5_ph_rerun_k141_702425	4992	No	NA	9	1	0	Low-quality	Genome-fragment	2.7	HMM-based (lower-bound)	0.0	1.0	
080613_5_ph_rerun_k141_818609	2534	No	NA	3	2	0	Low-quality	Genome-fragment	5.63	HMM-based (lower-bound)	0.0	1.0	
080613_5_ph_rerun_k141_1285182	3612	No	NA	6	1	0	Low-quality	Genome-fragment	2.34	HMM-based (lower-bound)	0.0	1.0	
080613_5_ph_rerun_k141_1052049	3048	No	NA	6	4	0	Low-quality	Genome-fragment	3.6	HMM-based (lower-bound)	0.0	1.0	
cn_080613_5_ph_rerun_000000000148	15525	No	NA	17	16	0	Low-quality	Genome-fragment	42.37	AAI-based (medium-confidence)	0.0	1.0	
cn_080613_5_ph_rerun_000000000385	12689	No	NA	13	10	0	Low-quality	Genome-fragment	22.95	HMM-based (lower-bound)	0.0	1.0	
080613_5_ph_rerun_k141_120540	3845	No	NA	7	0	0	Low-quality	Genome-fragment	9.64	AAI-based (medium-confidence)	0.0	1.0	no viral genes detected
cn_080613_5_ph_rerun_000000000562	5056	No	NA	9	2	0	Low-quality	Genome-fragment	9.28	HMM-based (lower-bound)	0.0	1.0	
cn_080613_5_ph_rerun_000000000193	7462	No	NA	13	2	0	Low-quality	Genome-fragment	11.23	HMM-based (lower-bound)	0.0	1.0	
080613_5_ph_rerun_k141_818932	3613	No	NA	4	1	0	Low-quality	Genome-fragment	3.29	HMM-based (lower-bound)	0.0	1.0	
raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_113_k141_1402132	5321	No	NA	1	0	1	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
080613_5_ph_rerun_k141_353329	5034	No	NA	5	1	0	Low-quality	Genome-fragment	6.76	HMM-based (lower-bound)	0.0	1.0	
080613_5_ph_rerun_k141_1402146	2639	No	NA	4	0	0	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
080613_5_ph_rerun_k141_1402162	4937	No	NA	8	1	0	Low-quality	Genome-fragment	9.31	AAI-based (medium-confidence)	0.0	1.0	
cn_080613_5_ph_rerun_000000000014	12019	No	NA	27	7	0	Low-quality	Genome-fragment	14.34	HMM-based (lower-bound)	0.0	1.0	
cn_080613_5_ph_rerun_000000000358	15687	No	NA	21	16	0	Low-quality	Genome-fragment	23.75	AAI-based (high-confidence)	0.0	1.0	
cn_080613_5_ph_rerun_000000000609	43062	No	NA	81	22	0	High-quality	High-quality	100.0	AAI-based (medium-confidence)	0.0	1.0	
cn_080613_5_ph_rerun_000000000393	5012	No	NA	8	4	0	Low-quality	Genome-fragment	10.99	AAI-based (medium-confidence)	0.0	1.0	
080613_5_ph_rerun_k141_1635453	4836	No	NA	9	1	0	Low-quality	Genome-fragment	8.46	HMM-based (lower-bound)	0.0	1.0	
080613_5_ph_rerun_k141_2991	2935	No	NA	5	1	0	Low-quality	Genome-fragment	3.83	HMM-based (lower-bound)	0.0	1.0	
080613_5_ph_rerun_k141_1169517	3233	No	NA	2	1	0	Low-quality	Genome-fragment	7.0	AAI-based (medium-confidence)	0.0	1.0	
cn_080613_5_ph_rerun_000000000335	6067	Yes	4344	8	3	1	Low-quality	Genome-fragment	5.25	HMM-based (lower-bound)	28.4	1.0	
cn_080613_5_ph_rerun_000000000256	9415	No	NA	15	3	0	Low-quality	Genome-fragment	11.52	HMM-based (lower-bound)	0.0	1.02	low-confidence DTR
080613_5_ph_rerun_k141_469998	2858	No	NA	5	0	0	Low-quality	Genome-fragment	5.95	AAI-based (high-confidence)	0.0	1.0	no viral genes detected
raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_81_k141_470115	2973	No	NA	5	3	0	Low-quality	Genome-fragment	8.32	AAI-based (medium-confidence)	0.0	1.0	
cn_080613_5_ph_rerun_000000000186	16797	No	NA	13	5	0	Low-quality	Genome-fragment	38.68	AAI-based (medium-confidence)	0.0	1.0	
cn_080613_5_ph_rerun_000000000245	5288	No	NA	12	5	0	Low-quality	Genome-fragment	5.02	HMM-based (lower-bound)	0.0	1.0	
080613_5_ph_rerun_k141_1520396	3739	No	NA	7	0	0	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
080613_5_ph_rerun_k141_121774	2729	No	NA	3	0	0	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
080613_5_ph_rerun_k141_1402779	2871	No	NA	7	2	0	Low-quality	Genome-fragment	5.96	HMM-based (lower-bound)	0.0	1.0	
raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_102_k141_3941	3299	No	NA	2	0	1	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
080613_5_ph_rerun_k141_237460	2953	No	NA	2	0	0	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
080613_5_ph_rerun_k141_937676	3070	No	NA	3	1	0	Low-quality	Genome-fragment	2.01	AAI-based (high-confidence)	0.0	1.0	
cn_080613_5_ph_rerun_000000000527	5693	No	NA	4	4	0	Low-quality	Genome-fragment	9.48	HMM-based (lower-bound)	0.0	1.0	
cn_080613_5_ph_rerun_000000000270	8685	No	NA	12	9	0	Low-quality	Genome-fragment	20.72	AAI-based (medium-confidence)	0.0	1.0	
080613_5_ph_rerun_k141_237679	3287	No	NA	9	3	0	Low-quality	Genome-fragment	3.24	HMM-based (lower-bound)	0.0	1.0	
080613_5_ph_rerun_k141_820157	4923	No	NA	11	3	0	Low-quality	Genome-fragment	8.46	HMM-based (lower-bound)	0.0	1.0	
080613_5_ph_rerun_k141_587996	2787	No	NA	4	3	0	Low-quality	Genome-fragment	9.18	AAI-based (high-confidence)	0.0	1.0	
080613_5_ph_rerun_k141_237922	3512	No	NA	4	2	0	Low-quality	Genome-fragment	8.12	AAI-based (high-confidence)	0.0	1.0	
080613_5_ph_rerun_k141_1521510	2740	No	NA	3	0	0	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
080613_5_ph_rerun_k141_1521537	3199	No	NA	3	3	0	Low-quality	Genome-fragment	4.81	HMM-based (lower-bound)	0.0	1.0	
cn_080613_5_ph_rerun_000000000341	8084	No	NA	7	7	0	Low-quality	Genome-fragment	15.39	AAI-based (medium-confidence)	0.0	1.0	
080613_5_ph_rerun_k141_1521723	3985	No	NA	7	4	0	Low-quality	Genome-fragment	10.45	AAI-based (medium-confidence)	0.0	1.0	
080613_5_ph_rerun_k141_1521813	4250	No	NA	6	1	0	Low-quality	Genome-fragment	16.46	AAI-based (medium-confidence)	0.0	1.01	
cn_080613_5_ph_rerun_000000000580	113861	No	NA	163	43	0	Low-quality	Genome-fragment	40.62	AAI-based (high-confidence)	0.0	1.0	
cn_080613_5_ph_rerun_000000000389	11218	No	NA	22	13	0	Low-quality	Genome-fragment	21.52	AAI-based (high-confidence)	0.0	1.0	
cn_080613_5_ph_rerun_000000000565	9371	No	NA	17	11	0	Low-quality	Genome-fragment	20.62	AAI-based (high-confidence)	0.0	1.0	
raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_81_k141_472125	8027	No	NA	11	4	0	Low-quality	Genome-fragment	23.1	AAI-based (high-confidence)	0.0	1.0	
080613_5_ph_rerun_k141_939206	2590	No	NA	2	0	2	Low-quality	Genome-fragment	1.19	AAI-based (medium-confidence)	0.0	1.0	no viral genes detected
cn_080613_5_ph_rerun_000000000498	73686	No	NA	83	27	0	Low-quality	Genome-fragment	49.28	AAI-based (high-confidence)	0.0	1.0	
080613_5_ph_rerun_k141_1404628	3164	No	NA	3	0	1	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
cn_080613_5_ph_rerun_000000000145	5561	No	NA	14	1	0	Low-quality	Genome-fragment	28.69	AAI-based (medium-confidence)	0.0	1.0	
080613_5_ph_rerun_k141_1754955	2837	No	NA	6	3	0	Low-quality	Genome-fragment	6.28	AAI-based (high-confidence)	0.0	1.0	
080613_5_ph_rerun_k141_1522309	2655	No	NA	5	0	1	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
cn_080613_5_ph_rerun_000000000522	12991	No	NA	16	10	1	Low-quality	Genome-fragment	19.08	HMM-based (lower-bound)	0.0	1.0	
080613_5_ph_rerun_k141_706069	2990	No	NA	2	2	0	Low-quality	Genome-fragment	7.98	AAI-based (medium-confidence)	0.0	1.0	
cn_080613_5_ph_rerun_000000000378	6378	No	NA	14	6	0	Low-quality	Genome-fragment	15.01	AAI-based (medium-confidence)	0.0	1.0	
080613_5_ph_rerun_k141_589277	4641	No	NA	6	0	0	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
cn_080613_5_ph_rerun_000000000070	9352	No	NA	12	11	0	Low-quality	Genome-fragment	14.92	HMM-based (lower-bound)	0.0	1.0	
080613_5_ph_rerun_k141_1522732	3840	No	NA	4	3	0	Low-quality	Genome-fragment	5.77	AAI-based (medium-confidence)	0.0	1.0	
080613_5_ph_rerun_k141_706317	2587	No	NA	10	1	0	Low-quality	Genome-fragment	1.76	HMM-based (lower-bound)	0.0	1.0	
080613_5_ph_rerun_k141_1055773	2540	No	NA	2	2	0	Low-quality	Genome-fragment	5.2	AAI-based (medium-confidence)	0.0	1.0	
raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_201_k141_821739	6189	No	NA	13	0	0	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
080613_5_ph_rerun_k141_1405240	2555	No	NA	2	2	0	Low-quality	Genome-fragment	5.94	AAI-based (medium-confidence)	0.0	1.0	
080613_5_ph_rerun_k141_124216	3654	No	NA	8	3	0	Low-quality	Genome-fragment	5.24	HMM-based (lower-bound)	0.0	1.0	
cn_080613_5_ph_rerun_000000000474	12473	No	NA	18	16	1	Low-quality	Genome-fragment	18.89	AAI-based (high-confidence)	0.0	1.0	
080613_5_ph_rerun_k141_1638958	10995	No	NA	2	2	0	Low-quality	Genome-fragment	20.87	HMM-based (lower-bound)	0.0	1.0	
080613_5_ph_rerun_k141_1289385	4552	No	NA	8	4	0	Low-quality	Genome-fragment	11.86	AAI-based (high-confidence)	0.0	1.0	
cn_080613_5_ph_rerun_000000000222	9467	No	NA	15	2	1	Low-quality	Genome-fragment	18.77	AAI-based (medium-confidence)	0.0	1.0	
080613_5_ph_rerun_k141_124472	2537	No	NA	4	0	1	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
080613_5_ph_rerun_k141_239011	2750	No	NA	6	5	0	Low-quality	Genome-fragment	7.36	AAI-based (high-confidence)	0.0	1.0	
cn_080613_5_ph_rerun_000000000444	8021	No	NA	10	4	0	Low-quality	Genome-fragment	19.58	HMM-based (lower-bound)	0.0	1.0	
080613_5_ph_rerun_k141_1172491	4633	No	NA	7	0	0	Low-quality	Genome-fragment	12.88	AAI-based (medium-confidence)	0.0	1.0	no viral genes detected
080613_5_ph_rerun_k141_1289825	3783	No	NA	2	2	0	Low-quality	Genome-fragment	6.86	HMM-based (lower-bound)	0.0	1.0	
raw-080813-7-mc_raw-080813-7-mc_bin_1_k141_822330	3033	No	NA	6	1	0	Low-quality	Genome-fragment	5.97	AAI-based (medium-confidence)	0.0	1.0	
080613_5_ph_rerun_k141_356980	3818	No	NA	3	0	2	Low-quality	Genome-fragment	2.03	AAI-based (medium-confidence)	0.0	1.0	no viral genes detected
raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_4_k141_239418	23973	No	NA	34	1	1	Not-determined	Genome-fragment	NA	NA	0.0	1.0	
cn_080613_5_ph_rerun_000000000433	16974	No	NA	33	3	1	Low-quality	Genome-fragment	26.55	AAI-based (medium-confidence)	0.0	1.0	
cn_080613_5_ph_rerun_000000000174	20826	No	NA	37	3	1	Low-quality	Genome-fragment	20.41	HMM-based (lower-bound)	0.0	1.0	
080613_5_ph_rerun_k141_707667	2698	No	NA	4	1	0	Low-quality	Genome-fragment	2.92	AAI-based (medium-confidence)	0.0	1.0	
080613_5_ph_rerun_k141_125359	4339	No	NA	8	2	0	Low-quality	Genome-fragment	9.2	HMM-based (lower-bound)	0.0	1.0	
080613_5_ph_rerun_k141_357552	3017	No	NA	5	4	0	Low-quality	Genome-fragment	7.14	AAI-based (high-confidence)	0.0	1.0	
080613_5_ph_rerun_k141_1173267	2817	No	NA	1	0	0	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
080613_5_ph_rerun_k141_1640207	4724	No	NA	10	3	0	Low-quality	Genome-fragment	6.9	HMM-based (lower-bound)	0.0	1.0	
080613_5_ph_rerun_k141_1640276	2808	No	NA	3	3	0	Low-quality	Genome-fragment	6.86	AAI-based (high-confidence)	0.0	1.0	
080613_5_ph_rerun_k141_823427	3037	No	NA	4	0	0	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
080613_5_ph_rerun_k141_1173422	2658	No	NA	6	3	0	Low-quality	Genome-fragment	9.71	AAI-based (high-confidence)	0.0	1.0	
080613_5_ph_rerun_k141_7037	3776	No	NA	5	1	0	Low-quality	Genome-fragment	4.34	HMM-based (lower-bound)	0.0	1.0	
080613_5_ph_rerun_k141_823461	3942	No	NA	4	2	0	Low-quality	Genome-fragment	2.66	AAI-based (high-confidence)	0.0	1.0	
080613_5_ph_rerun_k141_240395	6423	No	NA	9	1	0	Low-quality	Genome-fragment	3.84	HMM-based (lower-bound)	0.0	1.01	
cn_080613_5_ph_rerun_000000000476	5992	No	NA	10	4	0	Low-quality	Genome-fragment	4.95	AAI-based (high-confidence)	0.0	1.0	
080613_5_ph_rerun_k141_358204	3583	No	NA	1	0	0	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
cn_080613_5_ph_rerun_000000000376	9563	No	NA	22	2	0	Low-quality	Genome-fragment	13.48	HMM-based (lower-bound)	0.0	1.0	
080613_5_ph_rerun_k141_708572	2582	No	NA	6	1	0	Low-quality	Genome-fragment	5.09	AAI-based (high-confidence)	0.0	1.0	
cn_080613_5_ph_rerun_000000000566	8240	No	NA	21	4	0	Low-quality	Genome-fragment	14.5	HMM-based (lower-bound)	0.0	1.0	
080613_5_ph_rerun_k141_1174420	3324	No	NA	5	1	0	Low-quality	Genome-fragment	6.22	AAI-based (medium-confidence)	0.0	1.0	
cn_080613_5_ph_rerun_000000000125	20092	No	NA	28	18	0	Low-quality	Genome-fragment	49.07	AAI-based (medium-confidence)	0.0	1.0	
cn_080613_5_ph_rerun_000000000019	6723	No	NA	8	0	1	Not-determined	Genome-fragment	NA	NA	0.0	1.01	no viral genes detected
080613_5_ph_rerun_k141_358998	8629	No	NA	8	0	0	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
080613_5_ph_rerun_k141_1525697	2901	No	NA	5	2	0	Low-quality	Genome-fragment	3.81	HMM-based (lower-bound)	0.0	1.0	
080613_5_ph_rerun_k141_824751	3427	No	NA	7	2	0	Low-quality	Genome-fragment	4.52	HMM-based (lower-bound)	0.0	1.06	
cn_080613_5_ph_rerun_000000000236	6718	No	NA	18	4	0	Low-quality	Genome-fragment	11.54	HMM-based (lower-bound)	0.0	1.0	
080613_5_ph_rerun_k141_1058337	2995	No	NA	3	0	2	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
080613_5_ph_rerun_k141_943150	4945	No	NA	9	2	0	Low-quality	Genome-fragment	7.51	HMM-based (lower-bound)	0.0	1.0	
080613_5_ph_rerun_k141_825124	2808	No	NA	6	1	0	Low-quality	Genome-fragment	1.96	HMM-based (lower-bound)	0.0	1.0	
080613_5_ph_rerun_k141_1642158	3692	No	NA	8	8	0	Low-quality	Genome-fragment	8.83	AAI-based (high-confidence)	0.0	1.0	
cn_080613_5_ph_rerun_000000000550	10861	No	NA	21	2	1	Low-quality	Genome-fragment	19.17	AAI-based (medium-confidence)	0.0	1.0	
cn_080613_5_ph_rerun_000000000454	40613	No	NA	57	25	0	Medium-quality	Genome-fragment	52.87	AAI-based (high-confidence)	0.0	1.0	
080613_5_ph_rerun_k141_9133	6474	No	NA	1	0	0	Not-determined	Genome-fragment	NA	NA	0.0	1.08	no viral genes detected
080613_5_ph_rerun_k141_1526632	3587	No	NA	2	0	0	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_198_k141_1642752	3381	No	NA	4	0	0	Low-quality	Genome-fragment	9.36	AAI-based (medium-confidence)	0.0	1.0	no viral genes detected
080613_5_ph_rerun_k141_360121	2955	No	NA	1	0	1	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
080613_5_ph_rerun_k141_1642766	2842	No	NA	3	2	0	Low-quality	Genome-fragment	4.27	HMM-based (lower-bound)	0.0	1.0	
cn_080613_5_ph_rerun_000000000250	9267	No	NA	12	1	0	Low-quality	Genome-fragment	12.16	HMM-based (lower-bound)	0.0	1.01	low-confidence DTR
cn_080613_5_ph_rerun_000000000496	6024	No	NA	5	4	0	Low-quality	Genome-fragment	5.39	HMM-based (lower-bound)	0.0	1.0	
080613_5_ph_rerun_k141_1293271	11163	No	NA	10	0	6	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
cn_080613_5_ph_rerun_000000000031	8100	No	NA	21	5	0	Low-quality	Genome-fragment	13.76	HMM-based (lower-bound)	0.0	1.0	
080613_5_ph_rerun_k141_1409709	2764	No	NA	3	1	0	Low-quality	Genome-fragment	3.94	HMM-based (lower-bound)	0.0	1.0	
080613_5_ph_rerun_k141_1642994	5481	No	NA	15	0	0	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
080613_5_ph_rerun_k141_1527123	2869	No	NA	4	2	0	Low-quality	Genome-fragment	4.26	HMM-based (lower-bound)	0.0	1.0	
080613_5_ph_rerun_k141_1176304	2763	No	NA	2	0	0	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
cn_080613_5_ph_rerun_000000000006	9733	No	NA	23	8	0	Low-quality	Genome-fragment	25.62	AAI-based (high-confidence)	0.0	1.0	
080613_5_ph_rerun_k141_477557	38168	No	NA	25	2	2	Low-quality	Genome-fragment	5.94	HMM-based (lower-bound)	0.0	1.0	
cn_080613_5_ph_rerun_000000000344	15178	No	NA	22	10	0	Low-quality	Genome-fragment	25.28	AAI-based (medium-confidence)	0.0	1.0	
080613_5_ph_rerun_k141_593040	3006	No	NA	2	0	0	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
080613_5_ph_rerun_k141_477642	4457	Yes	2069	3	1	1	Low-quality	Genome-fragment	4.09	AAI-based (high-confidence)	53.58	1.0	
080613_5_ph_rerun_k141_710934	15091	No	NA	19	2	2	Low-quality	Genome-fragment	28.06	AAI-based (high-confidence)	0.0	1.0	
cn_080613_5_ph_rerun_000000000165	20656	No	NA	38	11	0	Low-quality	Genome-fragment	30.06	AAI-based (medium-confidence)	0.0	1.0	
080613_5_ph_rerun_k141_593243	13337	No	NA	16	0	1	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
080613_5_ph_rerun_k141_1294174	3147	No	NA	5	4	0	Low-quality	Genome-fragment	7.72	AAI-based (medium-confidence)	0.0	1.0	
080613_5_ph_rerun_k141_1176834	2754	No	NA	1	0	0	Low-quality	Genome-fragment	1.34	AAI-based (medium-confidence)	0.0	1.0	no viral genes detected
cn_080613_5_ph_rerun_000000000067	5556	No	NA	11	11	0	Low-quality	Genome-fragment	5.98	AAI-based (high-confidence)	0.0	1.0	
cn_080613_5_ph_rerun_000000000161	18865	No	NA	33	14	0	Low-quality	Genome-fragment	45.34	AAI-based (medium-confidence)	0.0	1.0	
080613_5_ph_rerun_k141_478041	9182	No	NA	3	3	0	Low-quality	Genome-fragment	17.12	AAI-based (medium-confidence)	0.0	1.02	low-confidence DTR
080613_5_ph_rerun_k141_1410847	2548	No	NA	5	1	0	Low-quality	Genome-fragment	2.81	AAI-based (medium-confidence)	0.0	1.0	
cn_080613_5_ph_rerun_000000000442	5333	No	NA	14	3	0	Low-quality	Genome-fragment	4.63	HMM-based (lower-bound)	0.0	1.0	
080613_5_ph_rerun_k141_478226	3599	No	NA	7	7	0	Low-quality	Genome-fragment	5.55	HMM-based (lower-bound)	0.0	1.0	
080613_5_ph_rerun_k141_827168	3951	No	NA	9	1	0	Low-quality	Genome-fragment	6.56	AAI-based (high-confidence)	0.0	1.0	
raw-080813-7-mc_raw-080813-7-mc_bin_1_k141_1527789	8236	No	NA	6	0	1	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
raw-080613-5-ph_rerun_raw-080613-5-ph_rerun_bin_87_k141_244516	3646	No	NA	3	0	0	Low-quality	Genome-fragment	2.49	AAI-based (high-confidence)	0.0	1.0	no viral genes detected
080613_5_ph_rerun_k141_594092	2619	No	NA	2	1	0	Low-quality	Genome-fragment	24.42	HMM-based (lower-bound)	0.0	1.0	
cn_080613_5_ph_rerun_000000000234	22359	No	NA	34	11	0	Low-quality	Genome-fragment	39.09	AAI-based (medium-confidence)	0.0	1.0	
